,neg,pos,neut
hod,0,0,1
hoda,0,0,2
hoddle,0,2,1
hodges,0,0,1
hodgson,3,1,1
hoe,9,3,5
hoes,0,0,1
hof,5,5,3
hofer,1,0,1
hoff,0,2,2
hoffman,1,8,3
hoffmann,0,0,1
hofstadter,0,0,1
hofweekend,0,1,0
hog,3,4,3
hoga,0,0,1
hogai,0,0,1
hogan,58,48,139
hogayi,0,0,1
hoge,1,0,0
hogia,0,1,0
hognation,0,1,0
hogroast,0,0,1
hogs,0,1,0
hogwart,0,1,0
hogwarts,0,1,0
hoh,0,0,4
hoho,0,1,0
hohohohohohohoho,1,0,0
hoi,0,1,0
hoist,0,0,1
hojo,0,0,1
hokaga,0,0,1
hokage,1,4,13
hokagy,0,0,1
hokies,0,0,1
hol,0,4,2
hola,0,2,0
holacost,0,0,1
holande,1,0,0
hold,36,77,165
holder,1,2,3
holding,1,1,1
holds,0,0,4
hole,16,20,62
holger,1,0,0
holi,2,6,3
holicks,0,0,1
holiday,19,82,63
holidaycourtroom,0,0,1
holidayfail,1,0,0
holidays,0,3,1
holidaysamazontabletslowcosttablet,0,1,0
holiness,0,1,0
holistic,0,1,0
holla,0,2,3
hollaatme,0,1,0
holland,1,2,3
hollande,2,0,11
holliday,0,1,1
hollie,0,1,2
hollis,0,1,0
hollow,0,0,2
holloway,0,1,2
holloween,1,0,0
hollowell,0,1,0
hollows,0,1,0
holly,2,9,26
hollygrove,0,0,1
hollyoak,0,1,0
hollyoaks,0,2,1
hollyweed,1,0,0
hollywire,0,0,1
hollywood,5,24,39
hollywoodbowl,0,0,1
hollywoodcrush,0,1,0
hollywooddivas,0,0,3
hollywooddreams,0,1,0
hollywoodtvserie,0,0,1
holm,9,9,40
holme,0,0,2
holmes,1,2,6
holms,0,0,1
holocaust,0,0,3
hologram,0,1,1
holographic,0,0,1
hololens,0,1,0
holon,0,1,0
holperin,0,0,1
holsey,1,0,0
holstein,0,1,0
holster,0,0,1
holtby,0,1,0
holy,9,49,20
holyday,0,0,1
hom,0,0,1
homage,0,1,1
hombre,0,1,0
home,86,224,248
homebase,0,0,1
homeboy,0,1,0
homebrew,0,2,0
homecom,0,1,0
homecoming,2,14,10
homefield,0,1,0
homefront,0,0,1
homegirl,0,1,1
homegrown,2,0,0
homegrowntheshit,0,1,0
homeland,0,1,2
homeless,1,4,6
homemade,0,7,4
homend,0,1,0
homeomen,0,1,0
homeowner,0,0,1
homepolish,0,1,0
homer,3,22,47
homeroom,0,2,0
homers,0,0,1
homerun,1,2,3
homes,0,1,1
homeschool,0,0,1
homeschooler,0,0,1
homestretch,0,0,2
hometeam,0,0,1
hometown,1,7,9
homeward,0,0,1
homewood,0,0,1
homework,8,11,13
homeworkcanwait,0,1,0
homie,1,10,7
homies,0,0,1
homin,0,0,2
hommage,0,0,1
homo,0,1,0
homophobia,0,1,0
homophobic,2,1,0
homos,2,0,1
homosexual,1,0,0
homosexuality,2,0,2
homs,4,0,1
homu,0,2,0
hon,0,1,3
honcho,0,0,1
honda,2,6,10
hondarebel,0,0,1
hondo,0,0,2
hone,0,1,0
honest,8,15,13
honestly,20,39,20
honesty,3,2,2
honey,9,9,8
honeymoon,0,1,2
honeymooncdqacom,0,1,0
hong,1,3,12
hongdae,0,1,0
hongkong,0,0,1
hongy,0,0,1
honk,0,0,2
honkytonk,0,1,1
honolulu,0,1,0
honor,1,44,18
honorable,0,1,0
honorary,0,1,0
honored,0,1,0
honoree,0,1,0
honors,0,1,0
honour,1,12,5
honourable,2,0,0
honu,0,0,1
hoo,0,9,3
hooch,0,2,0
hood,2,8,8
hooda,1,0,0
hoodie,0,3,5
hoodlum,1,0,0
hoodtread,0,0,1
hoody,0,0,1
hooisers,0,1,0
hook,5,11,22
hookah,0,0,1
hookahs,0,1,0
hooked,0,12,1
hookem,0,2,0
hooker,0,0,1
hookie,1,0,0
hooks,9,4,6
hookup,0,1,0
hooky,0,0,1
hoolie,0,1,0
hooman,0,1,0
hoop,1,6,3
hooper,0,2,1
hoopla,0,0,3
hoops,0,0,1
hoor,1,0,1
hoorah,0,1,0
hooray,0,4,0
hoorayformonday,0,1,0
hoose,0,0,1
hoosier,0,1,7
hoot,0,1,1
hooter,1,0,0
hootie,0,1,0
hoover,0,1,0
hop,24,101,58
hope,96,525,207
hopecity,0,1,0
hopeful,2,13,18
hopefully,8,116,32
hopefullycome,0,1,0
hopefulness,0,0,1
hopefultweet,0,1,0
hopefuly,0,1,0
hopeless,1,0,1
hoper,0,0,1
hopes,0,1,1
hopeso,0,0,2
hopethisistrue,0,1,0
hopin,0,2,0
hopkins,0,0,1
hopping,0,0,1
hoppy,0,0,1
hoppykercheval,1,0,0
hops,0,1,0
hopscotch,0,1,0
hopster,0,1,0
hor,0,0,1
horan,0,3,0
horcrux,0,0,1
hordern,0,0,1
hore,0,0,1
horizon,0,3,6
horlen,0,0,1
horlick,0,1,0
hormon,0,0,1
hormone,3,1,2
horn,2,11,13
horne,0,0,1
horner,0,0,1
hornet,1,0,1
hornsey,0,0,1
horny,1,1,2
horoscope,0,1,1
horrendous,4,0,1
horrible,22,2,4
horribly,1,0,1
horrific,1,0,1
horrified,0,0,1
horrify,1,0,0
horrifying,0,1,1
horror,9,14,15
horrors,0,1,0
horrorsquad,0,0,1
horse,5,13,13
horseman,0,0,2
horsemen,0,1,0
horserac,0,0,2
horseracing,0,1,1
horses,0,0,1
horseshit,1,0,0
horseshoe,0,1,0
hort,0,0,1
horta,1,0,0
horti,0,0,1
horton,0,1,2
hos,0,2,1
hosaka,0,1,0
hosanna,0,1,0
hose,0,0,1
hosiery,0,1,0
hosmer,0,3,0
hospice,0,0,2
hospital,11,6,8
hospitali,0,1,0
hospitalise,0,0,1
hospitality,0,1,0
hospitalize,0,0,1
hospitals,1,0,0
hospnow,1,0,0
host,10,69,102
hostage,4,0,3
hostages,0,0,1
hosted,0,0,2
hostel,2,0,1
hostess,0,1,0
hostile,1,0,2
hostility,1,0,0
hot,45,309,113
hotcake,0,1,0
hotdiggetydog,0,1,0
hotdiggitydog,0,0,1
hotdog,0,7,0
hotdogday,0,1,0
hote,0,0,1
hotel,15,45,47
hotelcalifornia,0,0,1
hotels,1,1,1
hothouse,0,1,0
hotjam,0,0,1
hotline,1,0,0
hotmail,1,0,0
hotoftheweek,0,1,0
hotpot,0,1,0
hotsauce,0,0,1
hotsgodenticket,0,2,0
hotshots,0,1,0
hotspot,0,1,0
hotspring,0,0,1
hotspur,1,0,4
hotsxm,0,0,1
hottaeks,0,0,1
hottake,1,0,0
hotter,1,0,0
hottest,0,1,0
hottie,0,4,0
hottieoftheweek,0,1,1
hottub,0,1,1
hotty,0,2,0
hottytoddy,0,1,0
hotwatch,0,1,0
hotwife,0,0,1
hou,2,1,6
houdini,1,1,0
hoult,0,0,2
houn,0,0,1
hound,0,1,0
hour,70,179,204
hours,0,0,4
hoursgt,0,1,0
hous,0,1,0
house,44,144,199
houseangela,0,1,0
housebreak,0,0,2
houseguest,0,1,0
household,1,1,5
housemade,0,1,0
housemaid,1,0,0
housemate,0,3,0
housemusic,0,0,2
houses,1,0,3
housewife,0,1,1
housing,1,1,1
houston,5,35,48
houstons,0,1,0
houstontexans,0,0,1
houstontx,0,0,1
houthi,1,0,0
houthis,2,0,1
hover,1,1,0
hoverboard,0,20,2
hoverdrift,0,1,0
hovers,0,0,1
howard,11,19,31
howards,0,1,0
howay,0,1,0
howden,0,0,1
howdoesitfeel,0,0,1
howe,0,0,1
howell,1,0,0
howev,0,0,1
howiwish,0,0,1
howl,2,2,0
howland,2,2,5
howlyes,0,1,0
howsad,1,0,0
howtopissagirloff,1,0,0
hoxsie,0,1,0
hoya,2,5,4
hoyer,0,1,0
hoys,1,0,0
hozier,0,2,0
hp,5,2,8
hpv,1,0,0
hpw,1,0,0
hq,3,5,5
hqb,0,3,3
hr,5,48,70
hrc,0,1,2
hrd,0,0,1
hrderby,0,0,1
hrh,0,0,1
hrmusicshare,0,1,0
hrpositive,0,1,0
hrs,4,8,8
hrsaintenough,1,0,0
hrsnosleep,0,1,0
hrt,3,7,1
hrtrends,0,0,1
hs,0,8,6
hsa,0,0,1
hsbcfraud,1,0,0
hse,0,0,1
hsonair,0,1,0
hspa,7,3,0
hst,1,0,9
hsy,0,0,1
ht,2,1,6
htafc,0,1,1
htat,0,0,1
htb,0,1,0
htc,0,0,5
htm,0,0,1
html,1,0,0
htown,0,1,0
htownskeptic,1,0,0
hts,0,0,1
htt,0,0,3
http,1,0,5
httppinurlco,0,0,1
https,0,0,1
httptco,1,0,1
httr,0,0,1
hu,0,3,3
hua,0,0,1
hualien,0,1,0
huawei,0,0,1
huaxin,0,0,1
hub,1,8,5
hubbard,0,1,1
hubby,0,5,3
huberdeau,0,0,1
hubert,0,0,1
huck,0,0,2
huckabee,4,1,1
huda,0,1,0
huddersfd,0,1,0
huddle,0,0,2
huddlestone,1,0,0
hudson,1,4,8
hudsonvalley,0,0,1
huey,1,0,0
huff,0,1,1
huffington,0,0,1
huffingtonpost,0,1,0
huffman,0,0,1
hug,1,12,5
huge,19,81,33
hugely,0,1,0
hugging,1,1,1
huggins,0,0,1
huggs,0,0,1
hugh,0,2,3
hughes,0,0,2
hugo,0,1,2
hugs,0,1,0
hugsxo,0,0,1
huh,9,3,3
huhu,0,2,0
huhuhu,0,0,1
huhuhuhu,1,1,1
hula,0,1,1
hulk,56,42,137
hulkamania,0,0,1
hulkbuster,0,0,1
hulkhogan,0,0,2
hulkpls,0,0,1
hull,2,10,7
hullo,0,1,0
hulu,2,7,5
hum,0,2,4
huma,0,1,1
human,20,34,28
humana,0,0,1
humane,0,1,1
humanely,0,0,2
humanicator,0,1,0
humanism,0,0,1
humanitarian,1,0,1
humanity,4,3,6
humanly,1,1,0
humanright,0,2,0
humayun,1,0,0
humble,0,6,3
humblebeginnings,0,1,0
humbleness,0,1,0
humboldt,0,0,1
hume,0,1,1
humid,0,1,2
humidity,1,0,0
humiliate,1,0,0
humor,2,3,3
humorous,0,1,0
humour,0,3,1
humourless,1,0,0
hump,0,2,1
humpday,0,1,0
humping,0,1,0
humpty,0,0,1
humqnity,1,0,0
hun,0,1,6
hunch,0,0,1
hunchback,1,0,0
hundley,0,0,3
hundredth,1,0,0
hundreth,0,1,0
hung,0,0,1
hungarian,1,0,0
hungary,1,1,4
hunger,5,9,3
hungover,3,0,4
hungovertone,0,1,0
hungry,3,9,3
hunk,0,2,1
hunny,0,1,0
hunt,2,7,9
hunted,1,0,0
huntelaar,0,0,1
hunter,5,13,15
hunting,0,2,2
huntington,0,0,2
huntsman,2,4,12
huntsmanspyder,1,0,0
huntsville,1,3,5
hunty,0,0,1
huntzinger,0,0,1
huppke,1,0,0
hur,0,0,1
hurdle,0,5,12
hurl,1,0,0
hurler,0,1,0
hurley,0,1,0
hurling,0,0,1
hurraah,0,4,0
hurrah,0,1,1
hurray,0,2,0
hurricane,9,18,18
hurricanesandy,1,0,0
hurry,3,13,11
hurst,0,0,1
hurstbridge,0,1,0
hurt,30,14,29
husband,10,14,18
huse,0,0,1
hush,0,0,2
husker,0,0,1
huskers,1,0,1
huskyhateweek,0,1,0
huss,0,0,1
hussein,2,0,0
hussle,0,1,9
hustle,3,6,8
hustlehard,0,1,0
hustlehardwednesday,0,1,0
hustlers,0,1,0
hustlevania,0,0,1
hut,0,1,1
hutch,0,0,2
hutcherson,0,1,1
hutchinson,0,0,1
hutchison,1,0,1
hutt,0,1,1
huttlife,0,0,1
huum,0,2,0
huwar,0,0,1
huws,0,0,1
huzah,0,1,0
huzzah,0,0,1
hv,2,5,7
hvar,0,11,11
hve,0,1,0
hw,3,9,10
hwa,0,1,0
hwaiting,0,1,0
hwood,0,1,0
hwrc,1,0,0
hwy,0,0,1
hy,0,1,1
hyatt,0,2,2
hyattsville,0,1,0
hyba,0,0,1
hybrid,0,1,5
hybridfacts,0,1,0
hybridtheory,0,1,0
hyd,0,0,1
hyde,1,1,3
hyderabad,0,1,0
hyderabadi,0,0,1
hydra,0,1,0
hydrangea,1,1,1
hydrate,0,1,0
hydrogen,0,2,0
hye,0,1,0
hyena,0,1,0
hyfc,0,0,1
hygiene,0,0,1
hykeham,0,0,1
hylka,0,1,0
hymn,0,1,2
hype,14,53,24
hypebeast,0,0,1
hyped,0,0,1
hypelounge,0,1,0
hypenado,0,1,0
hyper,1,0,1
hyperbaric,0,0,1
hyperbole,1,0,0
hypertrophy,0,0,1
hyperventilate,0,1,1
hyphen,0,0,1
hypocrisy,2,0,4
hypocrit,0,0,1
hypocrite,6,1,1
hypocrites,1,0,0
hypocritical,5,0,3
hypothesis,0,1,0
hypothetical,1,1,1
hypothetically,0,1,1
hysteria,1,0,0
hysterical,1,1,0
hysterically,0,0,1
hyun,0,2,1
hyuna,0,0,1
hyundai,0,0,1
hyung,4,7,8
hyungjunthebestyoutube,0,1,0
hz,0,0,1
hzkjkanajajans,0,0,1
ia,1,1,4
iaabahrain,0,0,2
iaaf,0,0,2
iaas,0,0,1
iac,1,0,1
iacaucus,0,2,1
iacc,0,0,1
iad,0,1,0
iag,0,1,0
iago,0,0,1
iahsfb,0,0,1
iain,0,2,2
iam,1,1,2
iamachristianbut,0,1,0
iamadad,0,1,0
iamcait,0,2,2
iamcw,0,0,1
iamhappyagain,0,1,0
iamnotpetty,0,0,1
iamsu,0,0,2
ian,2,15,11
ianetta,0,0,1
ians,5,5,9
iaprsa,0,1,0
iatse,0,0,1
ib,0,0,4
iba,0,2,0
ibaka,0,0,3
ibanez,0,0,1
ibarhimovic,0,1,0
ibat,0,1,0
ibb,2,0,1
ibc,0,0,1
ibcshow,0,1,0
ibe,0,0,3
ibelieve,1,0,0
ibiza,1,2,0
ibm,5,67,38
ibmcdo,0,1,0
ibmcsc,0,1,0
ibmmiddleware,0,1,0
ibmmobile,0,1,0
ibmsports,0,1,0
ibmstu,0,1,0
ibmtrain,0,1,0
ibn,0,1,0
ibna,0,0,1
ibnlive,0,0,2
ibom,1,0,1
ibra,0,0,3
ibrahim,0,0,2
ibrahimovic,0,1,2
ibrahimovich,0,1,0
ibrox,1,0,0
ibu,0,0,1
ibuprofen,1,0,0
ibz,0,1,0
ic,0,2,2
icanhonestlysay,0,1,0
icant,0,0,1
icardi,0,1,1
icarly,0,1,1
icbm,0,0,1
icc,2,7,19
iccwe,0,1,0
ice,27,351,188
iceberg,1,0,0
icecaps,0,0,1
icecarats,0,0,2
icecream,0,4,1
icecreamday,0,3,0
icecreammonth,0,1,0
icecube,0,0,1
iced,5,2,0
iceland,0,0,1
icg,0,0,1
ich,0,1,2
ichigono,0,1,0
ichiraku,0,0,1
ichiro,0,0,1
icing,1,1,2
icis,0,0,1
icisbuyer,0,0,2
icj,0,0,1
icky,1,0,0
icloud,0,0,1
icn,0,1,1
ico,0,1,0
icon,2,7,8
iconiac,1,6,0
iconiacz,0,1,0
iconic,0,2,3
icons,0,1,1
iconwho,1,0,0
icrc,0,0,1
ics,0,3,11
icsprob,0,1,0
ict,0,1,0
icu,1,0,0
icymi,3,6,9
id,3,9,20
idaho,1,0,3
idc,7,18,11
idcwhatthehatershavetosay,0,1,0
ide,0,2,1
idea,29,54,62
ideal,2,10,6
idealistic,0,0,1
ideally,0,0,2
ideas,0,1,2
idek,2,1,1
idekyn,0,0,1
identical,1,1,4
identify,0,0,4
identity,2,1,2
ideological,0,1,0
ideologically,0,0,1
ideologie,2,0,0
ideology,2,0,4
idf,0,1,0
idgaf,4,1,1
idgt,0,1,0
idid,0,0,1
idiocracy,2,0,0
idiosyncratic,0,0,2
idiot,45,4,5
idiots,2,0,0
iditarod,1,18,6
idk,16,20,50
idkthough,0,0,1
idle,0,0,3
idol,2,8,14
idolize,0,0,2
idolssa,0,1,0
idontcareiftheycheat,0,1,0
idontwantit,1,0,0
idowellwiththegeishas,0,1,0
idowhatican,0,0,1
idowu,0,0,1
idp,0,0,1
idr,0,1,0
idriss,0,0,2
idrk,0,0,1
ids,1,1,0
idul,0,0,1
iea,0,0,1
iebc,5,1,5
ien,0,0,1
ievent,0,1,0
ifa,0,0,1
ifcarlsbergdidweekend,0,1,0
ifeat,0,0,1
ifeelyou,0,1,0
iff,0,0,1
iffy,1,0,1
ifi,0,1,0
ifitsdebatenight,0,0,1
ifiwereaboy,0,1,0
ifollowback,0,0,1
ifoundyou,0,1,0
ifyoulovemeyouwillcome,0,1,0
ifyouwanna,0,1,0
ig,3,2,7
igate,0,0,1
igem,0,0,1
iger,0,0,1
iget,1,0,0
igfame,0,0,1
iggy,3,6,5
ighalo,0,0,2
ight,0,1,0
igiveupp,0,1,0
igleisas,0,0,1
iglesias,2,3,8
ignant,0,0,1
ignatieff,0,0,1
ignatius,0,1,0
ignite,0,2,2
ignition,0,3,1
ignominy,0,0,1
ignorance,4,2,2
ignorant,13,1,2
ignoratio,0,0,1
ignore,19,4,10
igo,0,1,0
igor,0,0,1
igot,0,0,2
igotitfree,0,1,0
igtoa,0,1,0
iguana,0,8,2
iguardedyouinpractice,0,0,1
iguess,0,0,1
iguodala,0,0,1
ihateschool,2,0,0
ihatesnow,1,0,0
ihavenoregret,0,0,1
ihavethepower,1,0,0
iheartradio,0,0,1
iheartsos,0,0,1
iherd,0,0,1
ihml,1,0,0
ihop,5,69,27
ihope,0,1,0
ihs,0,0,2
ii,14,36,40
iia,0,0,2
iic,0,1,0
iight,0,0,2
iil,0,1,0
iim,0,2,0
iirc,0,0,1
iithe,0,0,1
ijnet,0,1,0
ijunk,4,0,0
ijustine,0,1,0
ijustnerdedsohardmyglassesbroke,0,1,0
ik,1,4,5
ikaw,1,0,0
ike,5,1,0
ikea,1,2,0
ikeme,0,3,1
iker,0,1,3
ikey,0,1,0
ikkitousen,0,0,1
iknowimnottheonlyone,0,1,0
iknowushould,0,0,1
ikon,1,0,1
ikr,0,1,1
ikue,0,1,0
il,1,10,10
ild,0,1,0
ilega,0,0,1
ilegal,0,1,0
ilfracombe,0,0,1
ilk,1,0,0
ill,16,52,40
illarra,0,0,1
illawarra,0,0,1
illbringabottlenexttime,0,1,0
illegal,12,3,13
illegalaliens,0,0,1
illegaleagle,0,1,0
illegally,6,0,3
illegalrick,1,0,0
illhaveanother,0,0,1
illicit,0,0,1
illie,0,0,1
illini,0,1,2
illinois,2,3,1
illinoiscentral,0,0,1
illness,2,0,5
illogical,1,0,0
illserve,0,0,1
illuminate,0,2,3
illuminati,3,1,1
illuminaticonfirm,0,0,1
illumination,0,5,1
illuminations,1,5,8
illustrate,1,5,1
illustrated,0,1,1
illustrates,1,0,0
illustration,0,0,2
ilm,0,0,1
ilmi,1,1,0
iloveamerica,0,1,0
ilovefood,0,1,0
ilovemybestfriend,1,0,0
ilovethesehashtagemojis,0,0,1
ilovewriter,0,1,0
iloveyou,0,2,0
iloveyourg,0,1,0
ilu,0,0,1
ily,0,2,1
ilyasova,1,0,0
ilysm,0,1,0
im,11,38,14
ima,0,2,1
imaa,0,4,6
imaan,0,1,0
imac,0,2,0
imachristianbut,0,1,0
imaf,0,1,0
image,7,17,18
images,0,3,3
imaginary,1,0,2
imaginaryfriend,0,0,1
imagination,0,2,3
imagine,17,23,50
imago,0,0,1
imagre,0,0,1
imam,2,1,2
iman,0,1,1
imastartariot,0,1,0
imatmybreakingpoint,1,0,0
imax,0,10,1
imbizo,0,0,1
imbongis,1,0,0
imbor,0,1,0
imbue,0,1,0
imbula,1,1,0
imbv,0,1,0
imdb,0,0,1
imegine,0,0,1
imelda,0,5,3
imessag,0,1,0
imessage,0,0,1
imf,1,0,1
imgur,0,0,1
imhighly,0,1,0
imho,0,2,0
imissmybrother,0,1,0
imitate,0,0,1
imitation,1,0,2
imm,0,1,1
imma,9,18,29
immaculate,0,1,0
immature,2,0,0
immediate,3,1,4
immediately,1,3,9
immense,1,3,0
immensely,0,2,1
immerse,0,1,0
immigrant,10,1,5
immigrantlivesmatter,1,0,0
immigrants,0,0,1
immigration,4,5,13
imminent,0,1,2
immissinout,0,0,1
immortal,0,2,3
immortality,0,0,2
immovable,0,0,1
immune,0,0,1
immunity,3,0,3
imnotahippie,0,1,0
imnotsuperstitiousbut,0,1,0
imo,3,6,5
imon,0,1,0
imonit,0,0,1
imp,0,1,0
impact,3,12,10
impactful,0,1,0
impair,0,1,0
impala,0,1,1
impart,0,0,1
impasse,1,0,1
impatient,0,1,1
impeach,2,0,0
impeccable,0,0,1
impediment,0,0,1
impel,1,0,0
impending,0,0,1
imperfect,0,1,0
imperia,0,1,0
imperial,0,5,3
imperialduelist,0,0,1
imperialism,0,0,1
imperious,0,1,0
impersonate,0,0,1
impersonation,0,1,2
impersonator,0,0,2
impetuous,0,0,1
implement,1,1,2
implementation,0,1,0
implication,1,1,4
implicative,0,0,1
implicit,1,1,0
implode,3,1,4
implore,0,0,1
implosion,0,0,1
imply,1,1,8
import,2,1,3
importance,0,3,5
important,11,40,24
importantly,1,1,1
importer,0,0,2
impose,3,0,3
impossibl,0,0,1
impossible,7,18,10
impossibles,0,1,0
impotent,1,0,1
impractical,0,0,1
impregnate,1,0,0
impress,2,6,2
impressed,6,11,0
impression,3,7,6
impressive,1,15,3
impressively,0,0,1
imprison,0,0,2
imprisonment,1,0,0
improbable,0,0,1
impromptu,0,1,1
improud,0,1,0
improv,0,4,5
improve,2,17,18
improved,0,2,2
improvement,1,6,5
improvements,0,0,1
improvisation,0,1,0
imprvd,0,0,1
imptreasure,0,1,0
impulse,0,1,1
impulsively,1,1,0
imq,0,0,1
imran,0,2,0
imready,0,0,1
imsickandnothingison,1,0,0
imtherealmvp,0,0,1
imtiaz,0,0,1
imw,0,0,1
imwale,0,1,0
imwearingblue,0,1,0
ina,0,3,0
inabarfarfaraway,0,0,1
inability,1,0,1
inabudhabi,0,1,0
inaccessible,0,0,1
inaccurate,0,0,3
inactive,0,1,2
inadequacy,0,1,0
inadvertently,0,0,3
inagural,0,1,0
inam,0,0,1
inanimate,0,0,1
inappropriate,1,0,0
inappropriatefuneralsong,0,0,1
inappropriately,0,1,0
inasmuch,0,1,0
inaug,0,0,1
inaugural,0,0,2
inauguration,0,1,0
inaugurational,0,0,1
inbetweener,0,8,6
inbetweeners,0,4,1
inbound,0,2,2
inbox,1,1,6
inbred,1,0,0
inbreed,1,0,1
incapable,1,0,0
incapacitate,1,0,0
incarcerate,0,1,0
incarnate,0,2,2
incarnation,0,0,1
incase,0,0,1
incendiary,0,1,0
incense,0,1,0
incent,1,0,0
incentive,0,1,0
incept,0,0,1
incest,2,0,0
incesticide,0,2,0
inch,2,7,12
incha,1,0,0
incheon,0,0,1
incident,11,2,6
incite,1,0,0
incl,0,1,1
inclination,0,0,1
incline,0,1,2
inclined,0,1,0
inclu,0,0,1
include,10,51,62
inclusion,1,2,2
inclusive,0,2,0
incognito,1,0,0
incoherent,1,0,1
income,0,1,4
incoming,0,1,2
incomparable,0,1,0
incompatible,1,0,1
incompetence,1,0,0
incompetency,0,0,1
incompetent,1,1,0
incomplete,0,1,2
inconclusive,0,0,5
inconsiderate,1,0,1
inconsistent,2,0,1
inconvenience,2,2,4
incorporate,0,3,0
incorrect,2,0,0
incorrectly,0,0,1
incr,1,0,0
increase,7,8,15
increasingly,0,0,1
incredible,3,40,7
incredibly,5,5,1
incredulous,1,0,1
incubation,0,0,1
incumbent,0,0,5
incur,1,0,0
incursion,0,1,0
ind,0,1,5
inda,1,0,0
indah,0,1,0
inde,0,0,1
indecisive,0,0,1
indeedthe,0,1,0
indefinite,1,0,0
indepence,0,1,0
independant,1,0,0
independence,7,24,27
independent,3,7,18
independently,0,0,1
indesperateneed,0,0,1
indestructible,0,1,0
index,0,2,4
indhi,0,1,0
india,26,23,60
indiaat,0,0,1
indian,10,11,32
indiana,2,6,12
indianamensbasetball,0,1,0
indianapolis,1,4,13
indianbizparty,0,0,1
indians,3,10,22
indiathe,0,0,1
indicate,1,1,4
indication,1,2,0
indicative,0,1,1
indicator,0,0,1
indict,2,0,1
indictment,1,0,1
indie,1,3,8
indiedev,0,2,0
indies,6,0,12
indieweekend,0,1,0
indigenous,1,0,1
indio,0,1,0
indipendant,0,0,1
indirect,0,1,2
indirectly,2,0,0
indiscrete,1,0,0
indiscriminate,1,0,0
individual,2,4,8
individualistic,0,0,1
individually,2,0,0
indo,0,0,1
indonesia,1,3,8
indonesian,0,3,11
indonesiasayshbdforjustinbieber,0,1,0
indoor,1,7,7
indowantsblink,0,0,1
indra,0,0,1
indrajit,0,0,1
indu,1,0,0
induce,1,0,4
induct,0,3,0
induction,0,1,1
indulge,0,2,0
indulgent,0,0,1
industrial,2,1,4
industry,2,11,9
industryampnbsp,0,1,0
indvafg,1,0,0
indveng,0,0,1
indvsaus,0,1,0
indvswi,1,0,5
indvwi,0,1,1
indy,0,7,6
indyref,1,0,0
indys,0,0,1
ine,0,0,1
ineedmoregirlfriend,0,1,0
inequality,1,1,1
inert,0,1,0
inevitable,2,0,2
inevitably,2,0,1
inexperienced,1,0,0
inexpressibl,0,0,3
inexpressible,0,0,1
inf,1,0,1
infact,0,1,0
infamous,1,2,4
infant,0,4,0
infanticide,1,0,0
infantry,0,1,0
infantryman,0,0,1
infatuate,0,1,0
infect,3,0,1
infection,0,1,3
infectioncontrol,0,0,1
infects,0,0,2
inferior,1,1,0
inferno,0,1,0
infidel,1,0,0
infidelity,0,0,1
infield,0,0,4
infiltrate,0,0,1
infiltration,0,1,0
infiltrator,0,0,1
infinite,6,8,5
infinitely,0,0,1
infiniti,0,0,1
infinitieth,0,1,0
infinity,0,4,4
infinityquot,0,0,1
infity,0,1,0
inflammation,0,0,3
inflammatory,1,0,0
inflict,0,0,1
inflooding,0,1,1
inflowing,0,0,1
influence,6,3,7
influential,0,3,2
info,13,37,52
infobiz,0,0,1
infographic,0,1,2
infokayafestivalcouk,0,1,0
inforeadingtokidsorg,0,1,0
inform,3,10,12
informal,0,0,2
information,4,6,21
informative,0,1,2
informer,1,0,0
informercial,0,0,1
informix,1,0,0
infos,0,0,1
infosec,1,0,4
infosecisland,1,0,0
infostrada,0,1,2
infoteckno,0,0,1
infotiffany,0,0,1
infrared,0,0,1
infringe,0,0,2
infringement,1,0,0
infront,0,1,2
ing,0,3,0
ingat,0,2,0
ingetif,1,0,0
ingleton,0,1,0
inglourious,0,1,0
ingo,0,0,1
ingredient,0,1,0
ingressive,0,0,1
ingrid,0,1,0
inhab,0,1,0
inhabit,0,0,1
inhabitable,1,0,0
inhabitant,0,1,0
inhale,1,0,0
inherit,1,0,0
inheritance,0,1,0
inhibit,0,0,1
inhuman,0,0,1
iniesta,0,2,0
inimitable,0,1,1
iniskeen,0,1,0
init,1,0,0
initial,2,1,5
initially,0,1,1
initiate,1,1,0
initiation,0,0,1
initiative,1,2,4
inject,1,1,2
injection,1,0,1
injerd,1,0,0
injure,19,3,15
injured,1,2,0
injuredthigh,1,0,0
injury,35,8,44
injustice,1,0,1
ink,1,8,3
inkigayo,1,4,3
inkmaster,0,1,0
inland,2,0,0
inlaw,0,1,0
inlet,0,0,1
inlove,0,0,1
inmail,0,1,0
inman,0,1,0
inmarsat,0,2,0
inmiddeschool,0,1,0
inn,0,10,12
inna,0,0,1
innate,0,0,1
inner,2,1,7
inneresting,0,1,0
innerkip,0,1,0
inni,0,0,1
inniit,0,0,1
inning,8,30,77
innings,2,11,30
innocence,1,1,2
innocent,23,3,13
innocentst,1,0,0
innovate,1,3,0
innovation,1,6,5
innovationgeneration,0,1,0
innovative,0,3,0
innovator,0,3,1
innumerate,1,0,0
inothernews,0,0,1
inpodwetrust,0,1,0
inpour,0,0,1
input,0,0,3
inputt,0,0,1
inq,1,0,0
inquire,0,1,3
inquiry,3,0,1
inroad,0,1,0
insane,5,16,9
insanelly,0,1,0
insanely,0,2,0
insanity,1,3,6
insectiside,1,0,0
insensitive,3,0,1
